transaction_id,old_parent,old_parent_pres,new_parent,new_parent_pres,child,type,date
2403-53_tr_03,Minister of Defence,:RW,Minister of Defence,:AK,Office of the Chief of Defence Staff,department,2024-09-27
2403-53_tr_04,Minister of Defence,:RW,Minister of Defence,:AK,Sri Lanka Army,department,2024-09-27
2403-53_tr_05,Minister of Defence,:RW,Minister of Defence,:AK,Sri Lanka Navy,department,2024-09-27
2403-53_tr_06,Minister of Defence,:RW,Minister of Defence,:AK,Sri Lanka Air Force,department,2024-09-27
2403-53_tr_07,Minister of Defence,:RW,Minister of Defence,:AK,State Intelligence Service,department,2024-09-27
2403-53_tr_08,Minister of Defence,:RW,Minister of Defence,:AK,Civil Security Department,department,2024-09-27
2403-53_tr_09,Minister of Defence,:RW,Minister of Defence,:AK,National Cadet Corps,department,2024-09-27
2403-53_tr_10,Minister of Defence,:RW,Minister of Defence,:AK,National Authority for the Implementation of Chemical Weapons Convention,department,2024-09-27
2403-53_tr_11,Minister of Defence,:RW,Minister of Defence,:AK,Sir John Kotelawala Defence University,department,2024-09-27
2403-53_tr_12,Minister of Defence,:RW,Minister of Defence,:AK,Defence Services Command and Staff College,department,2024-09-27
2403-53_tr_13,Minister of Defence,:RW,Minister of Defence,:AK,Miloda Institute - as a Faculty of Kotelawala Defence University,department,2024-09-27
2403-53_tr_14,Minister of Defence,:RW,Minister of Defence,:AK,Defence Research and Development Centre,department,2024-09-27
2403-53_tr_15,Minister of Defence,:RW,Minister of Defence,:AK,Institute of National Security Studies,department,2024-09-27
2403-53_tr_16,Minister of Defence,:RW,Minister of Defence,:AK,National Defence College,department,2024-09-27
2403-53_tr_17,Minister of Defence,:RW,Minister of Defence,:AK,Rakna Arakshana Lanka Ltd.,department,2024-09-27
2403-53_tr_18,Minister of Defence,:RW,Minister of Defence,:AK,Coast Guard Department of Sri Lanka,department,2024-09-27
2403-53_tr_19,Minister of Defence,:RW,Minister of Defence,:AK,National Defence Fund,department,2024-09-27
2403-53_tr_20,Minister of Defence,:RW,Minister of Defence,:AK,Ranaviru Seva Authority,department,2024-09-27
2403-53_tr_21,Minister of Defence,:RW,Minister of Defence,:AK,Api Wenuwen Api Fund,department,2024-09-27
2403-53_tr_22,Minister of Defence,:RW,Minister of Defence,:AK,Department of Meteorology,department,2024-09-27
2403-53_tr_23,Minister of Defence,:RW,Minister of Defence,:AK,National Disaster Management Council,department,2024-09-27
2403-53_tr_24,Minister of Defence,:RW,Minister of Defence,:AK,Disaster Management Centre,department,2024-09-27
2403-53_tr_25,Minister of Defence,:RW,Minister of Defence,:AK,National Disaster Relief Services Centre,department,2024-09-27
2403-53_tr_26,Minister of Defence,:RW,Minister of Defence,:AK,National Building Research Organization,department,2024-09-27
2403-53_tr_27,Minister of Technology,:RW,Minister of Defence,:AK,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2024-09-27
2403-53_tr_28,"Minister of Finance, Economic Stabilization and National Policies",:RW,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",:AK,Department of External Resources,department,2024-09-27
2403-53_tr_29,"Minister of Finance, Economic Stabilization and National Policies",:RW,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",:AK,General Treasury,department,2024-09-27
