transaction_id,parent,parent_type,child,child_type,rel_type,date
2194-74_tr_09,Minister of Finance,minister,Tax Appeal Commission,department,AS_DEPARTMENT,2020-09-25
2194-74_tr_10,Minister of Finance,minister,Protection of Children-National Trust Fund,department,AS_DEPARTMENT,2020-09-25
2194-74_tr_11,State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,minister,Janatha Fertilizer Enterprises Ltd.,department,AS_DEPARTMENT,2020-09-25
2194-74_tr_12,State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,minister,Pulses and Grain Research and Production Authority,department,AS_DEPARTMENT,2020-09-25
2194-74_tr_13,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",minister,Hingurana Sugar Industry Ltd.,department,AS_DEPARTMENT,2020-09-25
